title,store,original_price,current_price,unit_price,unit
"Garneles NOWACO, 225 g, daļēji ceptas vai vārītas (15,51 €/kg); (26,62 €/kg)",maxima.lv,,3.49,15.51,€/kg
"Jūras velšu kokteilis GARDI ĒDIS, 400 g (15,98 €/kg); (23,23 €/kg)",maxima.lv,,6.39,15.98,€/kg
"Poke ar lasi, 350 g (10,26 €/kg)",maxima.lv,4.49,3.59,10.26,€/kg
"Wok ar olu nūdelēm un cāļa fileju, 350 g (9,40 €/kg)",maxima.lv,3.99,3.29,9.40,€/kg
"Sendvičs ar vistu un Čedaras sieru HOT RAMEN, 265 g (11,28 €/kg)",maxima.lv,3.79,2.99,11.28,€/kg
"Kimchi kāposti DONGWON, 160 g (15,56 €/kg)",maxima.lv,3.49,2.49,15.56,€/kg
"Jūras kāpostu salāti korejiešu gaumē, 200 g (6,45 €/kg); (8,95 €/kg)",maxima.lv,,1.29,6.45,€/kg
"Jūras velšu kokteilis eļļā VIČI, 240 g (22,88 €/kg)",maxima.lv,6.99,5.49,22.88,€/kg
"Sarkani suši ikri MASAGO SUDRABLĪNIS, 80 g (33,63 €/kg)",maxima.lv,3.29,2.69,33.62,€/kg
"Surimi nūdeles ATLANTIKA, 250 g, atdzesētas (6,76 €/kg)",maxima.lv,2.69,1.69,6.76,€/kg
"Surimi nūjiņas VIČI, 500 g, atdzesētas (7,98 €/kg); (11,98 €/kg)",maxima.lv,,3.99,7.98,€/kg
"Cāļa gaļa Āzijas marinādē BAUSKA, 500 g (6,98 €/kg)",maxima.lv,4.99,3.49,6.98,€/kg
"Cāļa pusspārni citrona-ingvera marinādē KGS, 1 kg, fasēti",maxima.lv,6.99,3.99,3.99,€/kg
"Cāļa filejas strēmelītes Honkongas mērcē RĪGAS MIESNIEKS, 400 g (7,48 €/kg)",maxima.lv,4.49,2.99,7.48,€/kg
"Cāļu kājas SWEET&SOUR marinādē RĪGAS MIESNIEKS, 800 g (4,99 €/kg)",maxima.lv,6.99,3.99,4.99,€/kg
"Cūkgaļas krūtiņa kurkumas-garšaugu marinādē, 450 g (9,98 €/kg)",maxima.lv,5.49,4.49,9.98,€/kg
"Zivju mērce SQUID BRAND, 300 ml (7,30 €/l)",maxima.lv,3.29,2.19,7.30,€/l
Atdzesētajām zivīm un jūras veltēm,maxima.lv,,,,
"Pasiflora, 120 g (12,42 €/kg)",maxima.lv,2.49,1.49,12.42,€/kg
"Ananasi, 1 kg",maxima.lv,1.99,1.49,1.49,€/kg
"Sēnes SHIMEJI, 150 g, baltās vai brūnās (9,27 €/kg)",maxima.lv,1.79,1.39,9.27,€/kg
"Ingvers, 1 kg",maxima.lv,4.99,3.49,3.49,€/kg
"Fermentēti dārzeņi Kimchi DIMDIŅI, 250 g (7,16 €/kg)",maxima.lv,2.29,1.79,7.16,€/kg
"Telpaugs KURKUMA jeb SIĀMAS TULPE, 1 gab., Ø14 cm",maxima.lv,9.99,5.99,,
"Gāzēts dzēriens OKF, 350 ml, POMEGRANATE vai CHERRY BLOSSOM (2,26 €/l)",maxima.lv,1.69,0.79,2.26,€/l
"Bazilika sēklu dzēriens THAI COCO, 290 ml, ar mango vai granātābolu garšu (3,41 €/l)",maxima.lv,1.49,0.99,3.41,€/l
"Dzēriens ALEO ALOE VERA, 500 ml, Premium vai mango (2,38 €/l)",maxima.lv,1.39,1.19,2.38,€/l
"Matcha tēja MOKATE, 40 g, ar mango vai persiku garšu (199,75 €/kg)",maxima.lv,10.99,7.99,199.75,€/kg
"Kokosriekstu-sojas dzēriens ALPRO MATCHA, 1 l",maxima.lv,,2.49,2.49,€/l
"Virtuves nazis TRAMONTINA PLENUS, 1 gab., divi veidi",maxima.lv,,3.99,,
"Mājas aromāts AERON JAPAN, 1 gab., 50 ml, tris veidi (99,80 €/l); (199,80 €/l)",maxima.lv,,4.99,99.80,€/l
"Konstruktors LEGO 10281, 1 gab., Bonsai kociņš",maxima.lv,,39.99,,
"Konstruktors LEGO 31218, 1 gab., Japānas ķiršu ziedi",maxima.lv,,89.99,,
"Bļoda AURORA ASIA, 1 gab., Ø11 cm",maxima.lv,,1.79,,
"Šķīvis ar irbulīšiem AURORA ASIA, 1 gab., Ø24 cm",maxima.lv,,4.99,,
"Panna WOK UNIWELL, 1 gab., Ø28 cm",maxima.lv,,14.99,,
"Āboli ROYAL GALA, 1 kg",maxima.lv,,1.99,1.99,€/kg
"Apelsīni WELL DONE, 1 kg, fasēti",maxima.lv,,1.99,1.99,€/kg
"Lielie bumbieri CONFERENCE, 1 kg",maxima.lv,,1.99,1.99,€/kg
"Avokado, 1 gab.",maxima.lv,,0.85,,
"Zaļumu komplekts, 70 g
                            (16,43 €/kg)",maxima.lv,,1.15,16.43,€/kg
"Kāposti ĶĪNAS, 1 kg",maxima.lv,,1.39,1.39,€/kg
"Ķiploki, 100 g
                            (7,90 €/kg)",maxima.lv,,0.79,7.90,€/kg
"Sagriezts baltais kāposts FIT&EASY, 300 g
                            (2,63 €/kg)",maxima.lv,,0.79,2.63,€/kg
"Rukola vai spināti WELL DONE, 100 g
                            (9,90 €/kg)",maxima.lv,,0.99,9.90,€/kg
"Mini saldā paprika WELL DONE, 150 g
                            (9,00 €/kg)",maxima.lv,,1.35,9.00,€/kg
"Gurķi MINI STARS, 250 g
                            (6,76 €/kg)",maxima.lv,,1.69,6.76,€/kg
"Oranžie mini plūmju tomāti WELL DONE, 250 g
                            (6,76 €/kg)",maxima.lv,,1.69,6.76,€/kg
"Sviesta ķirbis, 1 kg",maxima.lv,,1.19,1.19,€/kg
"Šampinjoni, 1 kg",maxima.lv,,3.99,3.99,€/kg
"Sarkanie sīpoli, 1 kg",maxima.lv,,0.69,0.69,€/kg
"Aveņu tomāti, 1 kg",maxima.lv,1.99,1.49,1.49,€/kg
"Mellenes spainīši, 400 g (11,23 €/kg)",maxima.lv,5.49,4.49,11.22,€/kg
"Tumšās plūmes LEPOTIKA, 1 kg",maxima.lv,1.29,0.89,0.89,€/kg
"Lielie apelsīni, 1 kg",maxima.lv,1.99,1.19,1.19,€/kg
"Bumbieri GUYOT, 1 kg",maxima.lv,1.69,1.39,1.39,€/kg
"Saldā kukurūza, 1 gab.",maxima.lv,1.19,0.79,,
"Ziedkāposti, 1 gab.",maxima.lv,1.99,1.59,,
"Baltā paprika, 1 kg",maxima.lv,2.49,1.99,1.99,€/kg
"Kartupeļi LIEPSĒTAS, 2,5 kg (0,56 €/kg)",maxima.lv,1.79,1.39,0.56,€/kg
"Skābēti kāposti ar burkāniem SPICIE, 850 g (1,05 €/kg)",maxima.lv,1.29,0.89,1.05,€/kg
Puķu sīpoliņiem,maxima.lv,,,,
"Grieztie ziedi ROZES, 1 iepak./15 gab.",maxima.lv,4.99,2.99,,
"Āra augs VIRSIS, 1 gab., Ø11 cm",maxima.lv,3.99,1.99,,
"Telpaugs ROZE, 1 gab., Ø13 cm, dažādas krāsas",maxima.lv,3.99,2.99,,
"Sviests ZEMNIEKU, 200 g, 82% (6,45 €/kg); (15,95 €/kg)",maxima.lv,,1.29,6.45,€/kg
"Skābais krējums TALSU, 400 g, 25% (3,73 €/kg)",maxima.lv,1.99,1.49,3.72,€/kg
"Jogurts FANTASIA, 104 g vai 120 g, ar MARS vai M&Ms garšu (no 8,25 €/kg); (no 12,42 €/kg)",maxima.lv,,0.99,9.52,€/kg
"Kefirs TALSU, 1 kg, 2,5%",maxima.lv,1.39,0.99,0.99,€/kg
Piena produktiem STRAUPE,maxima.lv,,,,
"Piens LIMBAŽU PIENS, 1 l, 2,5%",maxima.lv,1.37,0.99,0.99,€/l
"Sviests GHEE KHANUM, 500g (13,98 €/kg); (25,98 €/kg)",maxima.lv,,6.99,13.98,€/kg
"Provansas vai baraviku majonēze SPILVA, 250 g (4,36 €/kg); (no 5,56 €/kg)",maxima.lv,,1.09,4.36,€/kg
"Proteīna smūtijs SMILTENE ar ananasu-mango garšu, 460 g (4,33 €/kg); (5,20 €/kg)",maxima.lv,,1.99,4.33,€/kg
"Biezpiena krēms EMMA, 2x 200 g, ar mango vai meža ogu garšu (3,73 €/kg)",maxima.lv,2.98,1.49,7.45,€/kg
"Jogurts BALTAIS, 380 g, divi veidi (3,13 €/kg); (3,66 €/kg)",maxima.lv,,1.19,3.13,€/kg
"Tilzītes vai Holandes siers CESVAINE, 300 g, šķēlītes (11,63 €/kg); (15,63 €/kg)",maxima.lv,,3.49,11.63,€/kg
"Kausētais siers INALPI šķēlēs, 200 g",maxima.lv,3.98,3.00,15.00,€/kg
"Kūpināts kausētais siers RAMBYNO SNACK, 75 g, klasiskais vai ar šķiņķi (15,87 €/kg); (19,87 €/kg)",maxima.lv,,1.19,15.87,€/kg
"Siers MAASDAM LANDANA, 1 kg",maxima.lv,12.99,7.99,7.99,€/kg
"Tilzītes siers JAUNPILS, 1 kg",maxima.lv,11.99,6.99,6.99,€/kg
"Cāļa krūtiņas fileja gabalos WELL DONE, 400 g (7,48 €/kg)",maxima.lv,3.87,2.99,7.48,€/kg
"Cūkgaļas maltā masa FOREVERS, 1 kg, fasēta",maxima.lv,5.99,4.69,4.69,€/kg
"Cūkgaļas kakla karbonāde šķēles WELL DONE, 360 g (6,08 €/kg)",maxima.lv,2.89,2.19,6.08,€/kg
"Cāļa stilbi bez antibiotikām WELL DONE, 500 g (3,70 €/kg)",maxima.lv,1.99,1.85,3.70,€/kg
"Cāļa pusspārni brūkleņu marinādē LIDO, 400 g (6,48 €/kg)",maxima.lv,3.49,2.59,6.48,€/kg
"Cūkgaļas kakla karbonādes steiks sīpolu-paprikas marinādē, 200 g (14,95 €/kg)",maxima.lv,3.69,2.99,14.95,€/kg
"Cūkgaļas bekona šašliks RĪGAS MIESNIEKS, 800 g (4,99 €/kg)",maxima.lv,7.99,3.99,4.99,€/kg
"Cāļa cepamdesiņas ar garšaugiem WELL DONE, 400g (5,48 €/kg)",maxima.lv,2.69,2.19,5.48,€/kg
"Vistas gaļas šašliks RGK, 800 g, girosa marinādē (6,24 €/kg)",maxima.lv,5.99,4.99,6.24,€/kg
"Lēni gatavotas ribiņas Āzijas gaumē RĪGAS MIESNIEKS, 400g (13,73 €/kg)",maxima.lv,6.99,5.49,13.72,€/kg
"Cūkgaļas šašliks jogurta marinādē WELL DONE, 800g (5,86 €/kg)",maxima.lv,5.99,4.69,5.86,€/kg
"Tilapijas fileja kaņepju sēklu marinādē WELL DONE, 200 g (14,95 €/kg)",maxima.lv,4.49,2.99,14.95,€/kg
"Sama fileja bez ādas WELL DONE, 170 g (17,59 €/kg)",maxima.lv,4.49,2.99,17.59,€/kg
"Baltkāju garneles ar galvu čaulā VIČI, 300 g, 60/70, vāritas (10,63 €/kg)",maxima.lv,7.99,3.19,10.63,€/kg
"Pusžāvēta Prāgas servelāde vai Doktora desa ar krējuma garšu ĀDAŽI, 700 g vai 800 g (no 3,74 €/kg); (no 5,36 €/kg)",maxima.lv,,2.99,4.27,€/kg
"Pusžāvēta Servelāde RGK, 400 g (6,23 €/kg)",maxima.lv,3.99,2.49,6.22,€/kg
"Dūmdesa ar ķiplokiem NEPARASTĀ RĪGAS MIESNIEKS, 110 g (14,45 €/kg); (19,91 €/kg)",maxima.lv,,1.59,14.45,€/kg
"Karsti kūpināta Krakovas desa JELGAVA, 450 g (5,76 €/kg); (7,67 €/kg)",maxima.lv,,2.59,5.76,€/kg
"Tītara vai cāļa gaļas nageti ĀDAŽI, 500 g (4,98 €/kg)",maxima.lv,4.99,2.49,4.98,€/kg
"Pusžāvētas cepamdesiņas ar sieru LIDO, 300 g (13,63 €/kg)",maxima.lv,6.49,4.09,13.63,€/kg
"Auksti kūpināta makrele KAIJA, 250 g, vakuumā (14,76 €/kg); (19,96 €/kg)",maxima.lv,,3.69,14.76,€/kg
"Surimi nūjiņas VIČI, 2x 300 g, atdzesētas (6,65 €/kg)",maxima.lv,7.98,3.99,13.30,€/kg
"Moivas ikru krēms ar garnelēm ZIGMAS, 160 g (14,94 €/kg); (19,94 €/kg)",maxima.lv,,2.39,14.94,€/kg
"Siļķu filejas gabaliņi ar sīpoliem marinādē VIČI, 500 g (7,98 €/kg); (11,78 €/kg)",maxima.lv,,3.99,7.98,€/kg
"Ceptas reņģes tomātu mērcē BRIIS, 270g (3,30 €/kg)",maxima.lv,2.19,0.89,3.30,€/kg
"Šprotes eļļā KAIJA, 190 g (12,05 €/kg); (15,74 €/kg)",maxima.lv,,2.29,12.05,€/kg
"Torte SNIKERĪTIS, 830 g (14,45 €/kg)",maxima.lv,12.99,11.99,14.45,€/kg
"Siera salāti ar burkāniem, 200g (8,45 €/kg)",maxima.lv,1.99,1.69,8.45,€/kg
"Dzērveņu uzpūtenis, 150g (7,27 €/kg)",maxima.lv,1.29,1.09,7.27,€/kg
"Liellopa gaļas salāti, 200 g (8,95 €/kg)",maxima.lv,1.99,1.79,8.95,€/kg
"Kārtainie tunzivs salāti, 450 g (9,98 €/kg)",maxima.lv,5.29,4.49,9.98,€/kg
"Aukstā gaļa, 300 g, trīs veidi (6,63 €/kg)",maxima.lv,2.39,1.99,6.63,€/kg
"Pikantais vraps ar vistas girosu, 240 g (10,79 €/kg)",maxima.lv,2.99,2.59,10.79,€/kg
"Cūkgaļas plovs, 350 g (7,69 €/kg)",maxima.lv,2.99,2.69,7.69,€/kg
"Pankūkas ar vistas gaļas pildījumu, 400 g (7,48 €/kg)",maxima.lv,3.69,2.99,7.48,€/kg
"Torte Karaliene PELLIJA, 700 g (9,99 €/kg)",maxima.lv,7.49,6.99,9.99,€/kg
"Torte BANĀNU, 900 g (11,10 €/kg)",maxima.lv,10.99,9.99,11.10,€/kg
"Groziņi ZEFĪRA, 1 iepak./2x 70 g (13,50 €/kg)",maxima.lv,2.29,1.89,27.00,€/kg
"Deserts BIEZPIENA TORTE, 110 g, ar melleņu vai ķiršu ievārījumu (13,55 €/kg)",maxima.lv,1.89,1.49,13.55,€/kg
Konditorejas izstrādājumiem TASTE STORY,maxima.lv,,,,
"Uzkoda PICCETTA ar vistas gaļu, 90 g (8,78 €/kg)",maxima.lv,0.99,0.79,8.78,€/kg
"Maizīte ar pekanriekstiem un kļavu sirupu, 2x 88 g (5,68 €/kg)",maxima.lv,1.18,1.00,11.36,€/kg
