title,store,original_price,current_price
Ziepes Palmolive Men Ice Blast 90g,etop.lv,"0,89 € - 1,09 €",0.59
Dušas Želeja Palmolive Vīriešiem Revitalizing Sport 750ml,etop.lv,"6,39 € - 6,79 €",5.69
Dušas Želeja  Palmolive Skin Radiance Blueberry & Lily 500ml,etop.lv,"4,39 € - 4,79 €",3.69
Dušas Želeja  Palmolive Thermal Spa Shower Sorbet 500ml,etop.lv,"4,39 € - 4,79 €",3.69
Dušas Želeja Palmolive Aroma Essence Sleep 500ml,etop.lv,"4,39 € - 4,79 €",3.69
Jogurta Kokteilis Kārums Ar Vaniļas Piedevu 230g,etop.lv,‌,0.69
Ķermeņa Krēms Sence Aloe Vera 200ml,etop.lv,‌,1.99
Siļķu Filejas Gab. Loms Marinēti Skandināvu Gaumē Ar Sīpolie,etop.lv,‌,2.79
Siļķu Filejas Gab.loms Marinādē Ar Sīpoliem 370g,etop.lv,‌,2.79
Siļķu Fileja Gabaliņ Loms Ar Burkāniem Un Sīpoliem 200g,etop.lv,‌,1.79
Siļķu Fileja Loms Ar Sīpoliem Un Balto Mērci 200g,etop.lv,‌,1.59
Krekeri Grona Dukat Flow Pack Sver.,etop.lv,"3,39 € - 3,69 €",2.79
Piena Kokteilis Profeel Ar Zemeņu-saldējuma Garšu 250g,etop.lv,‌,1.59
Piena Kokteilis Profeel Ar Šokolādes Garšu 250g,etop.lv,‌,1.59
Šķidrās Ziepes Mayeri Sensitive Rezerve 500ml,etop.lv,‌,1.49
Kečups Hellmanns Classic 477g,etop.lv,‌,2.69
Skābais Krējums Tip Top 20% 400g Polipaka,etop.lv,‌,1.19
Skābais Krējums Opā 10% 400g,etop.lv,‌,0.89
Sald. Kartupeļi Golden River Frī Taisnie 750g,etop.lv,"2,59 € - 2,89 €",1.99
Cepumi Siguldas Maiznieks Auzu Pārslu 300g,etop.lv,"2,69 € - 3,39 €",1.99
Biezpiena Krēms Baltais Protein Stracciatella 200g Stāvpaka,etop.lv,‌,1.29
Jogurta Kokteilis Kārums Ar Zemeņu Banānu Piedevu 230g,etop.lv,‌,0.69
Jogurta Kokteilis Kārums Ar Mango Piedevu 230g,etop.lv,‌,0.69
Jogurta Kokteilis Kārums Ar Persiku Piedevu 230g,etop.lv,‌,0.69
Siers Džiugas Cietais 12 Mēn. 40% Šķēlēs 150g,etop.lv,‌,2.29
Čipsi Lay's Ar Krējuma Un Zaļo Lociņu Garšu 180g,etop.lv,‌,1.85
Čipsi Lay's Ar Siera Garšu 180g,etop.lv,‌,1.85
Čipsi Lay's Ar Zaļo Lociņu Garšu 180g,etop.lv,‌,1.85
Trauku Mazg.līdz.mayeri Cranberry 500ml,etop.lv,"1,79 € - 1,99 €",1.39
Tīr.līdzeklis Mayeri Kanalizācijas Caurulēm Granulas 500g,etop.lv,"3,35 € - 3,65 €",2.75
Tualetes Bloks Bref Color Auto Active Eucalyptus 50g,etop.lv,"2,75 € - 3,05 €",2.15
Tualetes Bloks Bref Color Auto Active Flowers 50g,etop.lv,"2,75 € - 3,05 €",2.15
Servelāde Vigesta Premium Karsti Kūp. 400g,etop.lv,"3,89 € - 4,29 €",3.19
Porciju Maize Fazer Apalīši Siera Maizītes 200g,etop.lv,‌,0.89
Makaroni Italpasta Nr.46 Gliemežvaki 500g,etop.lv,"1,69 € - 1,89 €",1.29
Tomātu Pasta Tip Top 250g,etop.lv,‌,1.48
Mājas Siers Alma Ar Saldo Krējumu 5% 180g,etop.lv,"0,99 € - 1,19 €",0.79
Mājas Siers Alma Ar Skābo Krējumu 180g,etop.lv,"0,99 € - 1,19 €",0.79
Tomātu Mērce Tip Top 455g,etop.lv,‌,1.34
Majonēze Hellmanns Original 322g/340ml,etop.lv,‌,2.99
Kafija Šķīstošā Nescafe 3in1 Brown Sugar 16.5gr 1 Gab,etop.lv,"0,49 € - 0,69 €",0.19
Kafijas Kapsulas Nescafe Dg Grande 136g,etop.lv,‌,5.99
Kukurūzas Čipsi Doritos Nacho Ar Siera Garšu 90g,etop.lv,"2,15 € - 2,25 €",1.49
Kukurūzas Čipsi Doritos Sweet Chili 90g,etop.lv,"2,15 € - 2,25 €",1.49
Desiņas Rīgas Miesnieks Mārtiņa Ar Sieru 300g,etop.lv,"3,09 € - 3,39 €",2.49
D Dzēriens Super Manki Raspberry Ice Cream 330ml Can,etop.lv,"1,09 € - 1,12 €",0.69
Autiņbiksītes Pampers Pants Vp S3 6-11kg 40gab,etop.lv,‌,11.99
Autiņbiksītes Pampers Pants Vp S4 9-15kg 35gab,etop.lv,‌,11.99
Autiņbiksītes Pampers Pants Vp S5 11-17kg 32gab,etop.lv,‌,11.99
Autiņbiksītes Pampers Pants Vp S6 13-19kg 29gab,etop.lv,‌,11.99
Saldējums Magnum Le Pistache Uz Kociņa 70g,etop.lv,"1,69 € - 1,89 €",1.29
Saldējums Magnum Pesche Uz Kociņa 70g,etop.lv,"1,69 € - 1,89 €",1.29
Saldējums Minecraft Vaniļas Garša Vafeļu Konusā 46g,etop.lv,‌,1.19
Saldējums Twister Freeze Npd 72g,etop.lv,"0,89 € - 1,09 €",0.59
D Dzēriens Coca Cola Gāz. 850ml Pet,etop.lv,"1,69 € - 1,79 €",0.99
D Dzēriens Coca Cola Zero Gāz. 850ml Pet,etop.lv,"1,69 € - 1,79 €",0.99
Saldējums Karlsons Dzērveņu 75g,etop.lv,"0,75 € - 0,85 €",0.55
Saldējums Karlsons Aveņu 75g,etop.lv,"0,75 € - 0,85 €",0.55
Kefīrs Opā 2.5% 900g,etop.lv,‌,0.75
Dražejas M&ms Šokolādes 82g,etop.lv,"2,25 € - 2,35 €",1.69
Dražejas M&ms Zemesriekstu 82g,etop.lv,"2,25 € - 2,35 €",1.69
Čipsi Ādažu Ar Garšvielām Nr.1 130g,etop.lv,"2,09 € - 2,29 €",1.69
Čipsi Ādažu Ar Garšvielām Nr.2 130g,etop.lv,"2,09 € - 2,29 €",1.69
Kafijas Dzēriens Lofberg Ice Creamy Cookie 230ml,etop.lv,‌,1.39
Tēja Melnā Lipton Yellow Label 2gx25,etop.lv,"2,19 € - 2,39 €",1.79
Sviests Tip Top Saldkrējuma 82% 180g,etop.lv,‌,1.15
Rudzu Maize Druva Spēkavota Pilngraudu 400g,etop.lv,"1,10 € - 1,19 €",0.85
D Alus Bezalk. Piebalgas Gaujas 0% 0.5l Stikls,etop.lv,‌,0.99
Cepumi Selga Ar Šok. Braunija Lazdu Riekstu Garšu 180g,etop.lv,"1,39 € - 1,49 €",0.89
Veļas Mazg.līdz.kastanis Color 3in1 1.8l,etop.lv,"6,09 € - 6,49 €",5.39
Piens Opā 2.5% 0.9l,etop.lv,‌,0.54
Rudzu Maize Latvijas Maiznieks Lielmaize Rupjā Maluma 600g,etop.lv,‌,1.39
Košļājamas Konfektes Skittles Smoothies 95g,etop.lv,"1,99 € - 2,49 €",1.59
Salami Tip Top Karsti Kūpināta 400g,etop.lv,‌,2.49
Barība Kaķiem Sausā Friskies Vista-dārzeņi 800g,etop.lv,"3,09 € - 3,39 €",2.49
Barība Kaķiem Sausā Friskies Liell.-vista-dārzeņi 800g,etop.lv,"3,09 € - 3,39 €",2.49
Piena Šokolāde Milka Daim 90g,etop.lv,"2,09 € - 2,29 €",1.69
Tīr.līdzeklis Mayeri Kanalizācijas Caurulēm 1l,etop.lv,"1,89 € - 2,09 €",1.49
Desa Rīgas Miesnieks Šķiņķa Šķēlēs 150g,etop.lv,"1,69 € - 1,89 €",1.29
Kafija Malta Merrild In Cup 400g,etop.lv,"10,99 € - 12,79 €",6.49
Graudainais Biezpiens Smiltene 0.5% 400g,etop.lv,"2,59 € - 2,99 €",2.49
Siers Mozzarella Mini Tip Top 100g,etop.lv,‌,1.29
Siers Čedars Latgale 50% Sverams Fasēts,etop.lv,‌,9.59
Higiēniskās Paketes Vesma Essentials Day 10gab,etop.lv,"1,29 € - 1,49 €",0.99
Higiēniskās Paketes Vesma Essentials Night 8gab,etop.lv,"1,29 € - 1,49 €",0.99
Piena Maisījums Nestle Nan Optipro Plus 2 800g,etop.lv,‌,16.99
Piena Maisījums Nestle Nan Optipro Plus 3 800g,etop.lv,‌,16.99
Jogurts Lakto Protein Ķiršu 200g,etop.lv,"1,35 € - 1,39 €",0.99
"Jogurts Lakto Protein Aveņu, Sēklu 200g",etop.lv,"1,35 € - 1,39 €",0.99
