title,store,original_price,current_price,unit_price,unit,image_url
SIĻĶU FILEJ. GAB. LOMS MARIN. SKAND. GAUMĒ AR SĪPOLIEM 370G,etop.lv,,3.59,9.70,€/kg,https://cdn.etop.lv/products/4779040615630-328x328.png
SIĻĶU FILEJAS GAB.LOMS MARINĀDĒ AR SĪPOLIEM 370G,etop.lv,,3.59,9.70,€/kg,https://cdn.etop.lv/products/4779040615616-328x328.png
SIĻĶU FILEJA GABALIŅ LOMS AR BURKĀNIEM UN SĪPOLIEM 200G,etop.lv,,2.29,11.45,€/kg,https://cdn.etop.lv/products/4779040615654-328x328.png
SIĻĶU FILEJA LOMS AR SĪPOLIEM UN BALTO MĒRCI 200G,etop.lv,,2.15,10.75,€/kg,https://cdn.etop.lv/products/4779040615692-328x328.png
KREKERI GRONA DUKAT FLOW PACK SVER.,etop.lv,3.39 € - 3.69 €,2.79,,,https://cdn.etop.lv/products/4820156633879-328x328.png
PIENA KOKTEILIS PROFEEL AR ZEMEŅU-SALDĒJUMA GARŠU 250G,etop.lv,,2.39,9.56,€/kg,https://cdn.etop.lv/products/6408432001000-328x328.png
PIENA KOKTEILIS PROFEEL AR ŠOKOLĀDES GARŠU 250G,etop.lv,,2.39,9.56,€/kg,https://cdn.etop.lv/products/6408432201806-328x328.png
ŠĶIDRĀS ZIEPES MAYERI SENSITIVE REZERVE 500ML,etop.lv,,2.49,4.98,€/l,https://cdn.etop.lv/products/4740060000515-328x328.png
KEČUPS HELLMANNS CLASSIC 477G,etop.lv,,3.79,7.95,€/kg,https://cdn.etop.lv/products/8721317739477-328x328.png
SKĀBAIS KRĒJUMS TIP TOP 20% 400G POLIPAKA,etop.lv,,1.19,2.98,€/kg,https://cdn.etop.lv/products/4751023453989-328x328.png
SKĀBAIS KRĒJUMS OPĀ 10% 400G,etop.lv,,0.89,2.22,€/kg,https://cdn.etop.lv/products/4751023453996-328x328.png
SALD. KARTUPEĻI GOLDEN RIVER FRĪ TAISNIE 750G,etop.lv,2.59 € - 2.89 €,1.99,2.65,€/kg,https://cdn.etop.lv/products/5410376832108-328x328.png
CEPUMI SIGULDAS MAIZNIEKS AUZU PĀRSLU 300G,etop.lv,2.69 € - 3.39 €,1.99,6.63,€/kg,https://cdn.etop.lv/products/4750432020928-328x328.png
BIEZPIENA KRĒMS BALTAIS PROTEIN STRACCIATELLA 200G STĀVPAKA,etop.lv,,1.69,8.45,€/kg,https://cdn.etop.lv/products/4750072019641-328x328.png
JOGURTA KOKTEILIS KĀRUMS AR ZEMEŅU BANĀNU PIEDEVU 230G,etop.lv,,1.19,5.17,€/kg,https://cdn.etop.lv/products/4750025003505-328x328.png
JOGURTA KOKTEILIS KĀRUMS AR MANGO PIEDEVU 230G,etop.lv,,1.19,5.17,€/kg,https://cdn.etop.lv/products/4750025003499-328x328.png
JOGURTA KOKTEILIS KĀRUMS AR PERSIKU PIEDEVU 230G,etop.lv,,1.19,5.17,€/kg,https://cdn.etop.lv/products/4750025003529-328x328.png
SIERS DŽIUGAS CIETAIS 12 MĒN. 40% ŠĶĒLĒS 150G,etop.lv,,3.29,21.93,€/kg,https://cdn.etop.lv/products/4770299391085-328x328.png
ČIPSI LAY'S AR KRĒJUMA UN ZAĻO LOCIŅU GARŠU 180G,etop.lv,,3.19,17.72,€/kg,https://cdn.etop.lv/products/5900259142436-328x328.png
ČIPSI LAY'S AR SIERA GARŠU 180G,etop.lv,,3.19,17.72,€/kg,https://cdn.etop.lv/products/5900259142474-328x328.png
ČIPSI LAY'S AR ZAĻO LOCIŅU GARŠU 180G,etop.lv,,3.19,17.72,€/kg,https://cdn.etop.lv/products/5900259142467-328x328.png
