title,store,original_price,current_price,unit_price,unit,image_url
"Rīsu krekeri WANT WANT, 100 g, ar vistas un lociņu vai medus sinepju garšu (19,90 €/kg)",maxima.lv,2.99,1.99,19.90,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//risu-krekeri-want-want-00027-0922095116.png?1790059876
"Lašu čipsi ZEN ZEN, 70 g, divi veidi (32,71 €/kg)",maxima.lv,3.49,2.29,32.71,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//lasu-cipsi-zen-zen-00028-0922095116.png?1790059876
"Kraukšķīgas nūdeļu uzkodas ar Ramen garšu, 60 g, CURRY vai ORIGINAL (24,83 €/kg)",maxima.lv,2.49,1.49,24.83,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//kraukskigas-nudelu-uzkodas-ar-ramen-garsu-00029-0922095116.png?1790059876
"Kartupeļu čipsi CHIPSTERS, 100 g, trīs veidi (13,90 €/kg); (19,90 €/kg)",maxima.lv,,1.39,13.90,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//kartupelu-cipsi-chipsters-00030-0922095116.png?1790059876
"Ātri pagatavojamās nūdeles SAMYANG, 70 g vai 80 g, vistas&siera vai Carbonara (no 24,88 €/kg)",maxima.lv,2.99,1.99,28.43,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//atri-pagatavojamas-nudeles-samyang-00031-0922095116.png?1790059876
"Ātri pagatavojamās nūdeles SAMYANG, 130 g vai 140 g, Carbonara vai vistas un siera Ramen (no 12,07 €/kg)",maxima.lv,1.99,1.69,13.00,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//atri-pagatavojamas-nudeles-samyang-00032-0922095115.png?1790059875
"Rīsu klimpas YOPOKKI, 120 g vai 140 g, Jangjang mērcē vai saldi asās (no 18,50 €/kg); (no 23,50 €/kg)",maxima.lv,,2.59,21.58,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//risu-klimpas-yopokki-00033-0922095115.png?1790059875
Āzijas virtuves produktiem un piederumiem FUDO,maxima.lv,,,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//azijas-virtuves-produktiem-un-piederumiem-fudo-00034-0922095115.png?1790059875
Ātri pagatavojamiem produktiem MAGGI ASIA,maxima.lv,,,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//atri-pagatavojamiem-produktiem-maggi-asia-00035-0922095115.png?1790059875
Āzijas virtuves produktiem SEMPIO,maxima.lv,,,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//azijas-virtuves-produktiem-sempio-00036-0922095115.png?1790059875
